order_id,order_date,customer_id,customer_name,gender,age,city,state,region,product_id,product_name,category,quantity,unit_price,discount,sales,cost,profit
O00001,2025-06-25,C0481,Isha Mehta,Female,45,Bengaluru,Karnataka,South,P010,Yoga Mat,Sports,2,1200,0.05,2280.0,1300,980.0
O00002,2025-03-08,C0060,Aditi Sharma,Female,21,Mumbai,Maharashtra,West,P004,Smart Watch,Electronics,1,6500,0.15,5525.0,4000,1525.0
O00003,2025-03-07,C0025,Vikram Shah,Male,41,Chennai,Tamil Nadu,South,P020,Notebook Set,Stationery,2,500,0.1,900.0,440,460.0
O00004,2025-03-24,C0496,Sneha Singh,Male,45,Lucknow,Uttar Pradesh,North,P012,Air Fryer,Home Appliances,3,7500,0.15,19125.0,14400,4725.0
O00005,2025-12-16,C0211,Sneha Reddy,Female,57,Ahmedabad,Gujarat,West,P003,Headphones,Electronics,1,2500,0.05,2375.0,1400,975.0
O00006,2025-04-15,C0059,Neha Reddy,Male,28,Mumbai,Maharashtra,West,P014,T-Shirt,Fashion,1,1200,0.1,1080.0,650,430.0
O00007,2025-10-14,C0645,Neha Gupta,Male,44,Bengaluru,Karnataka,South,P019,Cushion Set,Home Decor,1,1200,0.25,900.0,600,300.0
O00008,2025-07-05,C0227,Neha Nair,Female,55,Ahmedabad,Gujarat,West,P015,Jeans,Fashion,2,2500,0.05,4750.0,2800,1950.0
O00009,2025-10-11,C0347,Raj Sharma,Female,54,Lucknow,Uttar Pradesh,North,P002,Smartphone,Electronics,1,28000,0.1,25200.0,21500,3700.0
O00010,2025-01-04,C0168,Aarav Reddy,Male,49,Bhubaneswar,Odisha,East,P019,Cushion Set,Home Decor,2,1200,0.1,2160.0,1200,960.0
O00011,2025-05-18,C0503,Rahul Kapoor,Male,43,Ahmedabad,Gujarat,West,P016,Jacket,Fashion,3,4500,0.1,12150.0,8100,4050.0
O00012,2025-06-28,C0217,Isha Nair,Female,52,Jaipur,Rajasthan,North,P003,Headphones,Electronics,2,2500,0.1,4500.0,2800,1700.0
O00013,2025-08-25,C0940,Aarav Nair,Female,58,Lucknow,Uttar Pradesh,North,P001,Laptop,Electronics,1,55000,0.1,49500.0,42000,7500.0
O00014,2025-01-18,C0582,Meera Desai,Male,25,Delhi,Delhi,North,P011,Coffee Maker,Home Appliances,3,5500,0.0,16500.0,10200,6300.0
O00015,2025-10-30,C0095,Rahul Sharma,Male,51,Jaipur,Rajasthan,North,P003,Headphones,Electronics,1,2500,0.2,2000.0,1400,600.0
O00016,2025-01-09,C0310,Pooja Nair,Male,40,Kochi,Kerala,South,P017,Table Lamp,Home Decor,2,1800,0.15,3060.0,1900,1160.0
O00017,2025-01-29,C0284,Arjun Desai,Male,32,Hyderabad,Telangana,South,P008,Backpack,Accessories,2,2200,0.05,4180.0,2400,1780.0
O00018,2025-05-24,C0413,Nikhil Singh,Female,54,Delhi,Delhi,North,P019,Cushion Set,Home Decor,1,1200,0.1,1080.0,600,480.0
O00019,2025-12-14,C0748,Varun Khan,Female,59,Mumbai,Maharashtra,West,P011,Coffee Maker,Home Appliances,3,5500,0.15,14025.0,10200,3825.0
O00020,2025-05-29,C0460,Kavya Joshi,Male,53,Mumbai,Maharashtra,West,P003,Headphones,Electronics,1,2500,0.25,1875.0,1400,475.0
O00021,2025-03-05,C0042,Neha Singh,Female,60,Chennai,Tamil Nadu,South,P003,Headphones,Electronics,5,2500,0.25,9375.0,7000,2375.0
O00022,2025-07-06,C0531,Pooja Shah,Female,49,Chennai,Tamil Nadu,South,P012,Air Fryer,Home Appliances,1,7500,0.2,6000.0,4800,1200.0
O00023,2025-08-15,C0006,Amit Iyer,Male,35,Kochi,Kerala,South,P015,Jeans,Fashion,1,2500,0.05,2375.0,1400,975.0
O00024,2025-04-28,C0670,Sneha Verma,Male,43,Chennai,Tamil Nadu,South,P016,Jacket,Fashion,1,4500,0.2,3600.0,2700,900.0
O00025,2025-12-22,C0543,Neha Khan,Male,20,Jaipur,Rajasthan,North,P005,Office Chair,Furniture,1,8500,0.2,6800.0,6000,800.0
O00026,2025-09-11,C0223,Vikram Reddy,Male,31,Bhubaneswar,Odisha,East,P004,Smart Watch,Electronics,2,6500,0.1,11700.0,8000,3700.0
O00027,2025-01-31,C0210,Neha Singh,Male,30,Ahmedabad,Gujarat,West,P001,Laptop,Electronics,2,55000,0.1,99000.0,84000,15000.0
O00028,2025-06-10,C0692,Kavya Gupta,Female,32,Bhubaneswar,Odisha,East,P014,T-Shirt,Fashion,3,1200,0.1,3240.0,1950,1290.0
O00029,2025-08-03,C0674,Pooja Joshi,Female,43,Lucknow,Uttar Pradesh,North,P002,Smartphone,Electronics,1,28000,0.15,23800.0,21500,2300.0
O00030,2025-06-18,C0257,Rahul Reddy,Female,44,Delhi,Delhi,North,P009,Running Shoes,Sports,1,4500,0.05,4275.0,2700,1575.0
O00031,2025-03-22,C0215,Raj Verma,Male,18,Kolkata,West Bengal,East,P012,Air Fryer,Home Appliances,2,7500,0.0,15000.0,9600,5400.0
O00032,2025-02-15,C0437,Nikhil Kapoor,Female,45,Pune,Maharashtra,West,P020,Notebook Set,Stationery,1,500,0.05,475.0,220,255.0
O00033,2025-02-18,C0006,Amit Iyer,Male,35,Kochi,Kerala,South,P006,Desk,Furniture,2,12000,0.1,21600.0,17000,4600.0
O00034,2025-10-25,C0057,Vikram Reddy,Female,41,Jaipur,Rajasthan,North,P005,Office Chair,Furniture,2,8500,0.05,16150.0,12000,4150.0
O00035,2025-10-10,C0087,Amit Shah,Female,54,Jaipur,Rajasthan,North,P013,Mixer Grinder,Home Appliances,1,4200,0.15,3570.0,2700,870.0
O00036,2025-03-29,C0130,Amit Reddy,Female,29,Jaipur,Rajasthan,North,P013,Mixer Grinder,Home Appliances,3,4200,0.0,12600.0,8100,4500.0
O00037,2025-05-01,C0393,Neha Joshi,Male,41,Chennai,Tamil Nadu,South,P007,Bookshelf,Furniture,2,7000,0.2,11200.0,9600,1600.0
O00038,2025-01-03,C0985,Meera Sharma,Male,44,Kochi,Kerala,South,P019,Cushion Set,Home Decor,2,1200,0.2,1920.0,1200,720.0
O00039,2025-11-12,C0528,Arjun Singh,Female,44,Kolkata,West Bengal,East,P017,Table Lamp,Home Decor,1,1800,0.2,1440.0,950,490.0
O00040,2025-08-15,C0042,Neha Singh,Female,60,Chennai,Tamil Nadu,South,P004,Smart Watch,Electronics,1,6500,0.15,5525.0,4000,1525.0
O00041,2025-03-20,C0405,Meera Patel,Male,53,Kolkata,West Bengal,East,P004,Smart Watch,Electronics,1,6500,0.0,6500.0,4000,2500.0
O00042,2025-05-25,C0379,Priya Reddy,Female,53,Lucknow,Uttar Pradesh,North,P010,Yoga Mat,Sports,1,1200,0.1,1080.0,650,430.0
O00043,2025-08-30,C0100,Nikhil Kapoor,Female,56,Kolkata,West Bengal,East,P016,Jacket,Fashion,1,4500,0.05,4275.0,2700,1575.0
O00044,2025-02-01,C0861,Karan Verma,Female,58,Bhubaneswar,Odisha,East,P001,Laptop,Electronics,3,55000,0.25,123750.0,126000,-2250.0
O00045,2025-09-20,C0331,Vikram Joshi,Female,23,Kolkata,West Bengal,East,P014,T-Shirt,Fashion,2,1200,0.05,2280.0,1300,980.0
O00046,2025-07-30,C0990,Ananya Gupta,Female,60,Kochi,Kerala,South,P013,Mixer Grinder,Home Appliances,2,4200,0.1,7560.0,5400,2160.0
O00047,2025-03-12,C0313,Aditi Singh,Female,58,Pune,Maharashtra,West,P004,Smart Watch,Electronics,1,6500,0.15,5525.0,4000,1525.0
O00048,2025-07-16,C0483,Vikram Joshi,Male,32,Kolkata,West Bengal,East,P014,T-Shirt,Fashion,3,1200,0.2,2880.0,1950,930.0
O00049,2025-02-27,C0072,Karan Verma,Male,59,Bhubaneswar,Odisha,East,P020,Notebook Set,Stationery,1,500,0.15,425.0,220,205.0
O00050,2025-04-22,C0342,Rahul Mehta,Male,40,Pune,Maharashtra,West,P001,Laptop,Electronics,3,55000,0.15,140250.0,126000,14250.0
O00051,2025-02-17,C0169,Raj Sharma,Female,25,Kolkata,West Bengal,East,P007,Bookshelf,Furniture,4,7000,0.1,25200.0,19200,6000.0
O00052,2025-07-04,C0740,Sneha Iyer,Male,56,Kochi,Kerala,South,P009,Running Shoes,Sports,2,4500,0.1,8100.0,5400,2700.0
O00053,2025-11-23,C0674,Pooja Joshi,Female,43,Lucknow,Uttar Pradesh,North,P019,Cushion Set,Home Decor,5,1200,0.0,6000.0,3000,3000.0
O00054,2025-06-14,C0725,Rahul Reddy,Male,21,Ahmedabad,Gujarat,West,P020,Notebook Set,Stationery,2,500,0.2,800.0,440,360.0
O00055,2025-08-03,C0604,Vikram Verma,Female,45,Kochi,Kerala,South,P009,Running Shoes,Sports,1,4500,0.1,4050.0,2700,1350.0
O00056,2025-11-27,C0736,Rahul Gupta,Male,42,Bengaluru,Karnataka,South,P015,Jeans,Fashion,1,2500,0.0,2500.0,1400,1100.0
O00057,2025-11-26,C0141,Vikram Desai,Female,34,Bengaluru,Karnataka,South,P011,Coffee Maker,Home Appliances,1,5500,0.2,4400.0,3400,1000.0
O00058,2025-05-01,C0340,Isha Gupta,Female,42,Mumbai,Maharashtra,West,P011,Coffee Maker,Home Appliances,1,5500,0.1,4950.0,3400,1550.0
O00059,2025-08-01,C0570,Varun Verma,Female,35,Bengaluru,Karnataka,South,P005,Office Chair,Furniture,2,8500,0.2,13600.0,12000,1600.0
O00060,2025-11-07,C0513,Rahul Desai,Female,45,Bhubaneswar,Odisha,East,P004,Smart Watch,Electronics,1,6500,0.2,5200.0,4000,1200.0
O00061,2025-02-10,C0596,Rahul Singh,Female,39,Bhubaneswar,Odisha,East,P006,Desk,Furniture,3,12000,0.15,30600.0,25500,5100.0
O00062,2025-12-19,C0158,Isha Mehta,Female,35,Kochi,Kerala,South,P011,Coffee Maker,Home Appliances,1,5500,0.0,5500.0,3400,2100.0
O00063,2025-10-16,C0068,Rahul Shah,Male,47,Kolkata,West Bengal,East,P001,Laptop,Electronics,1,55000,0.05,52250.0,42000,10250.0
O00064,2025-06-17,C0855,Sneha Joshi,Male,50,Kochi,Kerala,South,P019,Cushion Set,Home Decor,4,1200,0.2,3840.0,2400,1440.0
O00065,2025-02-03,C0438,Karan Iyer,Female,33,Hyderabad,Telangana,South,P003,Headphones,Electronics,1,2500,0.2,2000.0,1400,600.0
O00066,2025-11-14,C0107,Nikhil Patel,Male,51,Delhi,Delhi,North,P004,Smart Watch,Electronics,2,6500,0.1,11700.0,8000,3700.0
O00067,2025-10-02,C0686,Kavya Mehta,Male,58,Lucknow,Uttar Pradesh,North,P010,Yoga Mat,Sports,2,1200,0.1,2160.0,1300,860.0
O00068,2025-07-16,C0852,Rohan Patel,Male,29,Bengaluru,Karnataka,South,P014,T-Shirt,Fashion,1,1200,0.05,1140.0,650,490.0
O00069,2025-07-10,C0118,Aditi Gupta,Female,56,Bengaluru,Karnataka,South,P002,Smartphone,Electronics,2,28000,0.25,42000.0,43000,-1000.0
O00070,2025-08-09,C0716,Aditi Desai,Male,27,Delhi,Delhi,North,P006,Desk,Furniture,1,12000,0.05,11400.0,8500,2900.0
O00071,2025-01-10,C0881,Amit Shah,Female,41,Mumbai,Maharashtra,West,P020,Notebook Set,Stationery,2,500,0.05,950.0,440,510.0
O00072,2025-04-30,C0889,Aditi Kapoor,Male,34,Delhi,Delhi,North,P005,Office Chair,Furniture,2,8500,0.15,14450.0,12000,2450.0
O00073,2025-05-03,C0851,Amit Singh,Male,44,Delhi,Delhi,North,P006,Desk,Furniture,1,12000,0.05,11400.0,8500,2900.0
O00074,2025-09-04,C0425,Isha Khan,Male,55,Chennai,Tamil Nadu,South,P017,Table Lamp,Home Decor,2,1800,0.2,2880.0,1900,980.0
O00075,2025-12-26,C0260,Kavya Iyer,Male,56,Mumbai,Maharashtra,West,P001,Laptop,Electronics,1,55000,0.0,55000.0,42000,13000.0
O00076,2025-08-09,C0005,Varun Joshi,Male,60,Pune,Maharashtra,West,P010,Yoga Mat,Sports,2,1200,0.0,2400.0,1300,1100.0
O00077,2025-09-18,C0042,Neha Singh,Female,60,Chennai,Tamil Nadu,South,P008,Backpack,Accessories,3,2200,0.1,5940.0,3600,2340.0
O00078,2025-02-27,C0320,Karan Mehta,Female,60,Lucknow,Uttar Pradesh,North,P006,Desk,Furniture,3,12000,0.1,32400.0,25500,6900.0
O00079,2025-11-11,C0296,Rahul Verma,Female,35,Bengaluru,Karnataka,South,P005,Office Chair,Furniture,3,8500,0.05,24225.0,18000,6225.0
O00080,2025-05-08,C0129,Neha Sharma,Male,28,Lucknow,Uttar Pradesh,North,P002,Smartphone,Electronics,1,28000,0.1,25200.0,21500,3700.0
O00081,2025-07-06,C0293,Pooja Mehta,Male,48,Kochi,Kerala,South,P006,Desk,Furniture,5,12000,0.1,54000.0,42500,11500.0
O00082,2025-07-24,C0122,Arjun Mehta,Female,22,Hyderabad,Telangana,South,P001,Laptop,Electronics,1,55000,0.2,44000.0,42000,2000.0
